State,Time (s),Time (ms),Pressure (Pa),Temperature ©,Temperature (C/100),Accel,Accel X,Accel Y,Accel Z,Batt Sense,Cut Sense 1,Cut Sense 2,Current Sense,Photoresistor
0,5.997,5997,102526,31.93172119,3193.172119,1.003632467,0.162598,0.814453,-0.563477,578,578,580,446,100
0,6.483,6483,102520,31.85689209,3185.689209,0.999251302,0.163574,0.810547,-0.561035,579,578,581,445,100
0,6.566,6566,102521,31.89524658,3189.524658,0.998776014,0.160645,0.810547,-0.561035,580,580,581,443,97
0,6.649,6649,102523,31.92224609,3192.224609,1.00103166,0.160645,0.812988,-0.561523,579,579,581,444,99
0,6.733,6733,102525,31.94340332,3194.340332,0.996453846,0.162109,0.809082,-0.558594,579,580,580,444,97
0,6.816,6816,102527,31.95683594,3195.683594,0.996729722,0.159668,0.80957,-0.559082,577,582,581,445,99
0,6.899,6899,102524,31.96611816,3196.611816,0.997396289,0.158691,0.80957,-0.560547,580,579,580,444,98
0,6.982,6982,102525,31.97325684,3197.325684,0.999250662,0.161133,0.811035,-0.561035,579,580,581,444,98
0,7.066,7066,102527,31.97942139,3197.942139,0.998149521,0.160156,0.810547,-0.560059,580,580,580,445,99
0,7.15,7150,102528,31.98318604,3198.318604,0.995736184,0.15918,0.808105,-0.55957,579,580,582,443,98
0,7.233,7233,102524,31.98454834,3198.454834,0.997224244,0.164551,0.810547,-0.557129,577,578,579,446,97
0,7.316,7316,102529,31.98870361,3198.870361,0.998232649,0.163574,0.812988,-0.555664,581,577,581,445,99
0,7.399,7399,102527,31.9879248,3198.79248,0.997777202,0.163086,0.811523,-0.557129,579,578,580,446,97
0,7.482,7482,102528,31.99026123,3199.026123,0.997664835,0.164062,0.811523,-0.556641,578,580,580,442,99
0,7.565,7565,102525,31.98967529,3198.967529,0.996103302,0.164062,0.808594,-0.558105,579,580,582,445,97
0,7.649,7649,102534,31.99272705,3199.272705,0.995519929,0.163086,0.809082,-0.556641,579,580,581,442,98
0,7.732,7732,102527,31.99104004,3199.104004,0.995961214,0.162598,0.810059,-0.556152,579,580,581,445,98
0,7.816,7816,102525,31.98935303,3198.935303,0.996474348,0.164062,0.810059,-0.556641,579,580,582,445,98
0,7.899,7899,102528,31.99084473,3199.084473,0.997777202,0.163086,0.811523,-0.557129,579,579,581,442,98
0,7.982,7982,102527,31.99155762,3199.155762,0.993907,0.163086,0.808105,-0.555176,578,579,582,444,98
0,8.065,8065,102526,31.99013184,3199.013184,0.996269115,0.161133,0.810059,-0.557129,578,579,582,444,98
0,8.148,8148,102524,31.98883301,3198.883301,0.994156556,0.163086,0.809082,-0.554199,580,580,579,444,98
0,8.231,8231,102527,31.99039062,3199.039062,0.998163363,0.162109,0.811523,-0.558105,579,580,581,444,98
0,8.315,8315,102530,31.98643066,3198.643066,0.992921172,0.163574,0.807129,-0.554688,579,578,580,444,97
0,8.398,8398,102529,31.98772949,3198.772949,0.995926839,0.161621,0.810547,-0.555664,580,580,581,445,96
0,8.481,8481,102529,31.98610596,3198.610596,0.995768602,0.163086,0.810059,-0.555664,580,579,581,445,98
0,8.564,8564,102532,31.98727539,3198.727539,0.994963712,0.162109,0.808594,-0.556641,581,580,581,444,95
0,8.648,8648,102528,31.98584717,3198.584717,0.995325311,0.161133,0.80957,-0.556152,580,579,581,444,98
0,8.731,8731,102530,31.98604248,3198.604248,0.996324044,0.161621,0.811035,-0.555664,579,579,582,446,97
0,8.814,8814,102528,31.98493896,3198.493896,0.993263204,0.163086,0.806641,-0.556152,578,581,581,446,97
0,8.898,8898,102532,31.98247314,3198.247314,0.992645755,0.161133,0.807617,-0.554199,578,580,582,443,96
0,8.981,8981,102526,31.98266602,3198.266602,0.996948495,0.162109,0.811035,-0.556641,579,580,581,444,97
0,9.063,9063,102530,31.98091553,3198.091553,0.992431987,0.161621,0.808594,-0.552246,580,580,581,444,98
0,9.147,9147,102531,31.97851318,3197.851318,0.996995064,0.164062,0.811035,-0.556152,580,579,582,444,96
0,9.231,9231,102525,31.9785791,3197.85791,0.994932002,0.163086,0.811035,-0.552734,577,578,581,444,98
0,9.314,9314,102530,31.97799561,3197.799561,0.998664892,0.164551,0.812988,-0.556152,580,579,581,444,95
0,9.398,9398,102527,31.97740967,3197.740967,0.997433726,0.162109,0.813965,-0.553223,580,578,582,444,96
0,9.481,9481,102531,31.97572266,3197.572266,0.994774653,0.165039,0.808105,-0.556152,578,581,580,443,96
0,9.564,9564,102530,31.97416504,3197.416504,0.999845116,0.161133,0.814453,-0.557129,579,581,581,446,96
0,9.647,9647,102527,31.97319092,3197.319092,0.996165631,0.163086,0.810547,-0.555664,579,580,582,443,97
0,9.73,9730,102529,31.97306152,3197.306152,0.995747421,0.160645,0.811523,-0.554199,579,580,580,445,96
0,9.814,9814,102533,31.97020752,3197.020752,0.993660104,0.160156,0.810059,-0.552734,580,580,582,442,95
0,9.897,9897,102525,31.96890869,3196.890869,0.994067614,0.164062,0.808105,-0.555176,580,580,581,444,96
0,9.981,9981,102529,31.96773926,3196.773926,0.995570935,0.164551,0.811523,-0.552734,579,579,581,444,97
0,10.064,10064,102530,31.96709229,3196.709229,0.994201974,0.162598,0.80957,-0.553711,579,580,580,443,96
0,10.147,10147,102526,31.96663574,3196.663574,0.993688487,0.162109,0.811035,-0.550781,579,580,580,444,95
0,10.23,10230,102528,31.96313232,3196.313232,0.994249733,0.162598,0.807617,-0.556641,581,580,581,443,97
0,10.313,10313,102528,31.96300293,3196.300293,0.99455464,0.160645,0.810059,-0.554199,580,580,581,444,95
0,10.396,10396,102527,31.96352051,3196.352051,0.995905346,0.161621,0.811523,-0.554199,582,580,579,446,96
0,10.479,10479,102532,31.96137939,3196.137939,0.994508022,0.161133,0.80957,-0.554688,579,581,581,444,96
0,10.562,10562,102525,31.95768066,3195.768066,0.99288477,0.160156,0.808105,-0.554199,580,579,581,444,95
0,10.645,10645,102529,31.95813477,3195.813477,0.995859366,0.162109,0.811035,-0.554688,580,580,581,444,95
0,10.729,10729,102527,31.95573486,3195.573486,0.993004552,0.161133,0.810059,-0.55127,580,578,579,446,96
0,10.812,10812,102531,31.95417725,3195.417725,0.990274729,0.159668,0.805664,-0.553223,579,578,582,446,95
0,10.895,10895,102533,31.95359131,3195.359131,0.995509573,0.164062,0.810547,-0.554199,580,581,579,443,97
0,10.978,10978,102526,31.94969727,3194.969727,0.992592853,0.163086,0.806152,-0.555664,579,581,582,444,95
0,11.061,11061,102528,31.94917969,3194.917969,0.995047315,0.164551,0.810547,-0.553223,580,580,581,445,96
0,11.144,11144,102528,31.94781494,3194.781494,0.995090851,0.161621,0.811523,-0.552734,579,580,584,445,96
0,11.228,11228,102529,31.94677734,3194.677734,0.996806349,0.158203,0.813965,-0.553223,579,579,581,445,95
0,11.311,11311,102528,31.94489502,3194.489502,0.99393027,0.162598,0.80957,-0.553223,580,579,581,446,95
0,11.394,11394,102526,31.94561035,3194.561035,0.994600203,0.162598,0.810059,-0.553711,580,581,582,444,96
0,11.477,11477,102530,31.9424292,3194.24292,0.997345532,0.162109,0.811523,-0.556641,580,579,582,444,94
0,11.561,11561,102528,31.94113037,3194.113037,0.994819869,0.161621,0.811523,-0.552246,580,579,581,445,96
0,11.644,11644,102527,31.93885986,3193.885986,0.994429072,0.160645,0.80957,-0.554688,579,580,582,441,95
0,11.727,11727,102528,31.93840576,3193.840576,0.994621628,0.162598,0.809082,-0.555176,580,580,582,446,96
0,11.811,11811,102532,31.93619873,3193.619873,0.996291517,0.160645,0.811523,-0.555176,578,579,581,443,95
0,11.894,11894,102531,31.9348999,3193.48999,0.992918849,0.161133,0.807617,-0.554688,579,578,582,444,96
0,11.978,11978,102528,31.93392822,3193.392822,0.99378817,0.158203,0.808594,-0.555664,579,581,581,445,95
0,12.061,12061,102529,31.93197998,3193.197998,0.99704642,0.158691,0.8125,-0.555664,579,580,580,446,95
0,12.145,12145,102531,31.92990234,3192.990234,0.995144447,0.162598,0.810059,-0.554688,580,580,581,442,96
0,12.229,12229,102533,31.92808594,3192.808594,0.996815852,0.160645,0.8125,-0.554688,582,580,581,443,94
0,12.312,12312,102532,31.92717773,3192.717773,0.99589406,0.160645,0.811035,-0.555176,579,578,581,446,95
0,12.395,12395,102533,31.92289551,3192.289551,0.993310172,0.159668,0.810059,-0.552246,580,579,581,445,94
0,12.479,12479,102529,31.92380371,3192.380371,0.994714259,0.164062,0.80957,-0.554199,579,577,581,447,95
0,12.562,12562,102529,31.92321777,3192.321777,0.994746436,0.162598,0.80957,-0.554688,580,579,582,444,96
0,12.645,12645,102527,31.9225708,3192.25708,0.993136101,0.160156,0.809082,-0.553223,580,579,581,443,95
0,12.729,12729,102531,31.91932373,3191.932373,0.99396343,0.161133,0.80957,-0.553711,578,580,580,446,95
0,12.812,12812,102529,31.91776611,3191.776611,0.994622501,0.160156,0.80957,-0.555176,579,581,581,443,95
0,12.895,12895,102530,31.91731201,3191.731201,0.995554767,0.161133,0.811523,-0.553711,582,581,581,445,95
0,12.979,12979,102528,31.91302979,3191.302979,0.993168652,0.161133,0.808594,-0.553711,578,580,581,444,94
0,13.062,13062,102530,31.91309326,3191.309326,0.995972894,0.161133,0.811035,-0.555176,581,581,580,444,94
0,13.145,13145,102531,31.91186035,3191.186035,0.994560787,0.158203,0.810547,-0.554199,581,580,582,444,95
0,13.228,13228,102529,31.90913574,3190.913574,0.996973608,0.161621,0.8125,-0.554688,580,579,581,445,94
0,13.311,13311,102531,31.90809814,3190.809814,0.991818372,0.162598,0.806641,-0.553711,579,580,580,443,94
0,13.394,13394,102528,31.90647461,3190.647461,0.996636596,0.162109,0.812988,-0.553223,579,582,582,444,95
0,13.477,13477,102528,31.90375,3190.375,0.992896665,0.161133,0.808594,-0.553223,580,580,582,445,96
0,13.561,13561,102526,31.90141357,3190.141357,0.993407388,0.162598,0.808594,-0.553711,581,580,580,445,93
0,13.644,13644,102531,31.90238525,3190.238525,0.995692692,0.165039,0.80957,-0.555664,581,580,583,446,95
0,13.727,13727,102528,31.90193115,3190.193115,0.99417984,0.160645,0.808594,-0.555664,580,580,582,443,94
0,13.811,13811,102529,31.89751953,3189.751953,0.995996607,0.163574,0.80957,-0.556641,580,581,584,444,95
0,13.894,13894,102528,31.8981665,3189.81665,0.99759614,0.162109,0.8125,-0.555664,578,580,581,444,93
0,13.977,13977,102526,31.89583008,3189.583008,0.996051961,0.161621,0.811035,-0.555176,580,580,582,445,94
0,14.061,14061,102528,31.89284668,3189.284668,0.997643714,0.164062,0.8125,-0.555176,580,581,581,446,93
0,14.144,14144,102530,31.89174316,3189.174316,0.994985281,0.161621,0.810059,-0.554688,580,579,582,443,95
0,14.227,14227,102530,31.88934082,3188.934082,0.996256837,0.162109,0.811523,-0.554688,579,581,582,444,93
0,14.311,14311,102532,31.88804199,3188.804199,0.995336778,0.162109,0.810059,-0.555176,580,580,581,442,95
0,14.394,14394,102529,31.88694092,3188.694092,0.992745381,0.157715,0.809082,-0.553223,580,581,582,444,94
0,14.478,14478,102528,31.88466797,3188.466797,0.992832434,0.164062,0.808594,-0.552246,581,579,581,444,95
0,14.561,14561,102529,31.88369385,3188.369385,0.992929449,0.162109,0.808105,-0.553711,579,580,580,444,94
0,14.644,14644,102533,31.88239746,3188.239746,0.997404006,0.162598,0.8125,-0.555176,579,582,582,444,94
0,14.727,14727,102528,31.88096924,3188.096924,0.995189579,0.162109,0.810547,-0.554199,579,581,582,443,95
0,14.811,14811,102528,31.87876221,3187.876221,0.99256171,0.15918,0.80957,-0.551758,580,579,581,444,95
0,14.894,14894,102530,31.8773999,3187.73999,0.992853176,0.164062,0.807617,-0.553711,581,581,581,445,95
0,14.977,14977,102530,31.87324707,3187.324707,0.993204238,0.159668,0.808594,-0.554199,582,581,581,446,91
0,15.06,15060,102532,31.87370117,3187.370117,0.99381835,0.163574,0.80957,-0.552734,579,581,581,445,93
0,15.143,15143,102532,31.87233643,3187.233643,0.993759444,0.163086,0.808594,-0.554199,581,580,582,447,95
0,15.226,15226,102531,31.87013184,3187.013184,0.994523092,0.159668,0.810547,-0.553711,579,578,581,443,93
0,15.309,15309,102531,31.86883301,3186.883301,0.994343269,0.163574,0.810547,-0.552246,581,579,581,444,96
0,15.392,15392,102533,31.86519775,3186.519775,0.993920081,0.164062,0.808594,-0.554199,579,582,582,445,94
0,15.475,15475,102530,31.86500244,3186.500244,0.994973973,0.163086,0.809082,-0.555664,579,580,580,443,93
0,15.558,15558,102530,31.86214844,3186.214844,0.995396012,0.160645,0.809082,-0.557129,579,581,583,441,94
0,15.641,15641,102529,31.86266602,3186.266602,0.99555517,0.163574,0.811035,-0.553711,580,582,582,443,93
0,15.725,15725,102530,31.8587085,3185.87085,0.989524633,0.161621,0.804688,-0.552734,579,581,582,445,93
0,15.808,15808,102530,31.85708496,3185.708496,0.991617524,0.161621,0.808594,-0.550781,581,580,581,444,94
0,15.891,15891,102530,31.85734619,3185.734619,0.995170228,0.162109,0.811523,-0.552734,580,579,581,444,93
0,15.974,15974,102523,31.85455566,3185.455566,0.998200045,0.162598,0.813477,-0.555176,580,580,582,444,94
0,16.057,16057,102532,31.85306152,3185.306152,0.993648061,0.164062,0.808594,-0.553711,581,579,582,444,93
0,16.14,16140,102527,31.85234863,3185.234863,0.997769991,0.161621,0.813477,-0.554688,579,581,583,446,94
0,16.223,16223,102530,31.85189453,3185.189453,0.99393523,0.165039,0.809082,-0.553223,580,581,581,444,94
0,16.306,16306,102530,31.84748047,3184.748047,0.99427171,0.159668,0.80957,-0.554688,582,582,583,444,95
0,16.389,16389,102530,31.84741455,3184.741455,0.994487793,0.161133,0.810547,-0.553223,579,582,582,444,93
0,16.472,16472,102530,31.84650635,3184.650635,0.994633887,0.163574,0.80957,-0.554199,581,580,582,445,93
0,16.555,16555,102531,31.84339111,3184.339111,0.995826267,0.161133,0.811523,-0.554199,580,579,581,445,93
0,16.638,16638,102531,31.84196533,3184.196533,0.994042657,0.161621,0.80957,-0.553711,579,581,581,446,93
0,16.721,16721,102529,31.83878418,3183.878418,0.996359756,0.160156,0.811035,-0.556152,580,581,582,445,93
0,16.804,16804,102525,31.83768066,3183.768066,0.992942785,0.160645,0.809082,-0.552734,580,579,582,443,93
0,16.887,16887,102531,31.83592773,3183.592773,0.994838509,0.161621,0.810547,-0.553711,580,580,580,445,94
